model_class,acc,kwargs
XGBClassifier,0.8221957040572793,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8317422434367542,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8460620525059666,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8496420047732697,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8389021479713604,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8424821002386634,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8579952267303103,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8031026252983293,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8269689737470167,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8412887828162291,"{'n_estimators': 200, 'max_depth': 12, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.860381861575179,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8579952267303103,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8448687350835322,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.850835322195704,"{'n_estimators': 400, 'max_depth': 6, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.8}"
